File_Name,Transcription,Normalized_Transcription
chunk_069.wav,"{'text': ' be shot! That is not fair!"" He was not conscious of an effort, but a sharp pain in his wrist apprised him that he was trying to free his hands.'}","{'text': ' be shot! That is not fair!"" He was not conscious of an effort, but a sharp pain in his wrist apprised him that he was trying to free his hands.'}"
chunk_070.wav,{'text': ' What splendid effort! What magnificent! What superspecialty!'},{'text': ' What splendid effort! What magnificent! What superspecialty!'}
chunk_071.wav,"{'text': ' human strength. Ah, that was a fine endeavor. Bravo! The cord fell away, his arms parted and floated upward, the hands dimly seen on each'}","{'text': ' human strength. Ah, that was a fine endeavor. Bravo! The cord fell away, his arms parted and floated upward, the hands dimly seen on each'}"
chunk_072.wav,{'text': ' He watched them with a new interest as first one and then the other pounced upon the noose at his neck. They tore it away.'},{'text': ' He watched them with a new interest as first one and then the other pounced upon the noose at his neck. They tore it away.'}
chunk_073.wav,"{'text': ' way and thrust it fiercely aside, its undulations resembling those of a water snake. Put it back! Put it back! He thought he shouted these words to his pang that'}","{'text': ' way and thrust it fiercely aside, its undulations resembling those of a water snake. Put it back! Put it back! He thought he shouted these words to his pang that'}"
chunk_074.wav,"{'text': "" he had not yet experienced. I'm sorry. He thought he shouted these words to his hands, for the undoing of the noose had been succeeded by the direst pang that he had not""}","{'text': "" he had not yet experienced. I'm sorry. He thought he shouted these words to his hands, for the undoing of the noose had been succeeded by the direst pang that he had not""}"
chunk_075.wav,"{'text': ' yet experienced. His neck ached horribly, his brain was on fire, his heart, which had been fluttering faintly, gave a great leap trying to force itself out'}","{'text': ' yet experienced. His neck ached horribly, his brain was on fire, his heart, which had been fluttering faintly, gave a great leap trying to force itself out'}"
chunk_076.wav,{'text': ' The water is boiling.'},{'text': ' The water is boiling.'}
chunk_077.wav,"{'text': "" The next chapter is the one that I'm going to be talking about.""}","{'text': "" The next chapter is the one that I'm going to be talking about.""}"
chunk_078.wav,"{'text': ' ""\'and with a supreme and crowning agony ""\'his lungs engulfed a great draught of air, ""\'which instantly he expelled in a shriek.'}","{'text': ' ""\'and with a supreme and crowning agony ""\'his lungs engulfed a great draught of air, ""\'which instantly he expelled in a shriek.'}"
chunk_079.wav,"{'text': ' He was now in full possession of his physical senses. They were, indeed, preternaturally keen and alert. Something in the awful disturbance of the organic system had so exuded'}","{'text': ' He was now in full possession of his physical senses. They were, indeed, preternaturally keen and alert. Something in the awful disturbance of the organic system had so exuded'}"
chunk_080.wav,{'text': ' He looked at the forest.'},{'text': ' He looked at the forest.'}
chunk_081.wav,{'text': ' The locusts.'},{'text': ' The locusts.'}
chunk_082.wav,"{'text': ' flies, the gray spiders stretching their webs from twig to twig. He noted the prismatic colors in all the dewdrops upon a million blades of grass. The humming of the gnat'}","{'text': ' flies, the gray spiders stretching their webs from twig to twig. He noted the prismatic colors in all the dewdrops upon a million blades of grass. The humming of the gnat'}"
chunk_083.wav,"{'text': "" that danced above the eddies of the stream, the beating of the dragonfly's wings, the strokes of the water spider's legs, like oars which had lifted their boat, all the""}","{'text': "" that danced above the eddies of the stream, the beating of the dragonfly's wings, the strokes of the water spider's legs, like oars which had lifted their boat, all the""}"
chunk_084.wav,"{'text': ' made audible sound and music. A fish slid along beneath his eyes, and he heard the rush of its body parting the water.'}","{'text': ' made audible sound and music. A fish slid along beneath his eyes, and he heard the rush of its body parting the water.'}"
chunk_085.wav,"{'text': ' He had come to the surface facing the stream. In a moment, the visible world seemed to wheel slowly round, himself the pivotal point, and he saw the bridge, the fort,'}","{'text': ' He had come to the surface facing the stream. In a moment, the visible world seemed to wheel slowly round, himself the pivotal point, and he saw the bridge, the fort,'}"
chunk_086.wav,"{'text': ' the soldiers upon the bridge, the captain, the sergeant, the two privates, his executioners. They were in silhouette against the blue sky. They shone'}","{'text': ' the soldiers upon the bridge, the captain, the sergeant, the two privates, his executioners. They were in silhouette against the blue sky. They shone'}"
chunk_087.wav,"{'text': ' The captain had drawn his pistol, but did not fire. The others were unarmed, their movements were grossly unmoved.'}","{'text': ' The captain had drawn his pistol, but did not fire. The others were unarmed, their movements were grossly unmoved.'}"
chunk_088.wav,"{'text': ' ""\'protesque and horrible, their forms gigantic. ""\'Suddenly he heard a sharp report ""\'and something struck the water smartly ""\'within a few inches of his head.\''}","{'text': ' ""\'protesque and horrible, their forms gigantic. ""\'Suddenly he heard a sharp report ""\'and something struck the water smartly ""\'within a few inches of his head.\''}"
chunk_089.wav,"{'text': ' spattering his face with spray. He heard a second report and saw one of the sentinels with his rifle at his shoulder, a light cloud of blue smoke rising from the muzzle,'}","{'text': ' spattering his face with spray. He heard a second report and saw one of the sentinels with his rifle at his shoulder, a light cloud of blue smoke rising from the muzzle,'}"
chunk_090.wav,{'text': ' The man in the water saw the eye of the man on the bridge gazing into his own through the sights of the rifle. He observed that it was a gray eye and remembered having read that gray'},{'text': ' The man in the water saw the eye of the man on the bridge gazing into his own through the sights of the rifle. He observed that it was a gray eye and remembered having read that gray'}
chunk_091.wav,"{'text': ' eyes were keenest, and that all famous marksmen had them. Nevertheless, this one had missed. A counter-swirl had carted Farquhar and'}","{'text': ' eyes were keenest, and that all famous marksmen had them. Nevertheless, this one had missed. A counter-swirl had carted Farquhar and'}"
chunk_092.wav,"{'text': ' turned him half round. He was again looking into the forest on the bank opposite the fort. The sound of a clear, high voice and a monotonous sing-song now rang out behind him,'}","{'text': ' turned him half round. He was again looking into the forest on the bank opposite the fort. The sound of a clear, high voice and a monotonous sing-song now rang out behind him,'}"
chunk_093.wav,"{'text': ' came across the water with a distinctness that pierced and subdued all other sounds, even the beating of the ripples in his ears. Although no soldier, he had frequented Calvary'}","{'text': ' came across the water with a distinctness that pierced and subdued all other sounds, even the beating of the ripples in his ears. Although no soldier, he had frequented Calvary'}"
chunk_094.wav,{'text': ' How cold!'},{'text': ' How cold!'}
chunk_095.wav,{'text': ' With what accurately measured interval...'},{'text': ' With what accurately measured interval...'}
chunk_096.wav,"{'text': ' fail those cruel words. Attention company! Shoulder arms ready, aim, fire!'}","{'text': ' fail those cruel words. Attention company! Shoulder arms ready, aim, fire!'}"
chunk_097.wav,"{'text': ' Farquhar dived, dived as deeply as he could. The water roared in his ears like the voice of Niagara, yet he heard the dull thunder of the volley, and, rising'}","{'text': ' Farquhar dived, dived as deeply as he could. The water roared in his ears like the voice of Niagara, yet he heard the dull thunder of the volley, and, rising'}"
chunk_098.wav,"{'text': ' again towards the surface, met shining bits of metal singularly flattened, oscillating slowly downward. Some of them touched him on the face and hands, then fell away'}","{'text': ' again towards the surface, met shining bits of metal singularly flattened, oscillating slowly downward. Some of them touched him on the face and hands, then fell away'}"
chunk_099.wav,"{'text': ' continuing their descent, one lodged between his collar and neck. It was uncomfortably warm, and he snatched it out. As he rose to the'}","{'text': ' continuing their descent, one lodged between his collar and neck. It was uncomfortably warm, and he snatched it out. As he rose to the'}"
chunk_100.wav,"{'text': "" surface, gasping for breath. He saw that he had been a long time underwater. He was perceptibly farther downstream, nearer to safety. The soldiers had almost finished R'hlo""}","{'text': "" surface, gasping for breath. He saw that he had been a long time underwater. He was perceptibly farther downstream, nearer to safety. The soldiers had almost finished R'hlo""}"
chunk_101.wav,"{'text': ' the metal ramrods flashed all at once in the sunshine as they were drawn from the barrels, turned in the air, and thrust into their sockets. The two sentinels fired'}","{'text': ' the metal ramrods flashed all at once in the sunshine as they were drawn from the barrels, turned in the air, and thrust into their sockets. The two sentinels fired'}"
chunk_102.wav,{'text': ' again independently and ineffectually. The hunted man saw all this over his shoulder. He was now swimming vigorously with the currents. His brain was as'},{'text': ' again independently and ineffectually. The hunted man saw all this over his shoulder. He was now swimming vigorously with the currents. His brain was as'}
chunk_103.wav,"{'text': "" energetic as his arms and legs, he thought with the rapidity of lightning. The officer, he reasoned, will not make that martinet's error a second time.""}","{'text': "" energetic as his arms and legs, he thought with the rapidity of lightning. The officer, he reasoned, will not make that martinet's error a second time.""}"
chunk_104.wav,"{'text': ' It is as easy to dodge a volley as a single shot. He has probably already given the command to fire at will. God help me, I cannot dodge them all.'}","{'text': ' It is as easy to dodge a volley as a single shot. He has probably already given the command to fire at will. God help me, I cannot dodge them all.'}"
chunk_105.wav,"{'text': ' An appalling plash within two yards of him was followed by a loud rushing sound, diminuendo, which seemed to travel back through'}","{'text': ' An appalling plash within two yards of him was followed by a loud rushing sound, diminuendo, which seemed to travel back through'}"
chunk_106.wav,"{'text': ' the air to the fort and died in an explosion which stirred the very river to its deeps. A rising sheet of water curved over him, fell down upon him,'}","{'text': ' the air to the fort and died in an explosion which stirred the very river to its deeps. A rising sheet of water curved over him, fell down upon him,'}"
chunk_107.wav,"{'text': ' The cannon had taken a hand in the game. As he shook his head free from the commotion of the smitten water, he heard the deflected shot humming'}","{'text': ' The cannon had taken a hand in the game. As he shook his head free from the commotion of the smitten water, he heard the deflected shot humming'}"
chunk_108.wav,"{'text': ' through the air ahead, and in an instant it was cracking and smashing the branches in the forest beyond. They will not do that again, he thought. The next time they will use a'}","{'text': ' through the air ahead, and in an instant it was cracking and smashing the branches in the forest beyond. They will not do that again, he thought. The next time they will use a'}"
chunk_109.wav,{'text': ' That is a good gun.'},{'text': ' That is a good gun.'}
chunk_110.wav,"{'text': ' Suddenly he felt himself whirled round and round, spinning like a top. The water, the banks, the forests, the now distant bridge, fort and men, all'}","{'text': ' Suddenly he felt himself whirled round and round, spinning like a top. The water, the banks, the forests, the now distant bridge, fort and men, all'}"
chunk_111.wav,"{'text': ' He had been co-mangled and blurred. Objects were represented by their colors only. Circular, horizontal streaks of color. That was all that he saw. He had been co-mangled and blurred.'}","{'text': ' He had been co-mangled and blurred. Objects were represented by their colors only. Circular, horizontal streaks of color. That was all that he saw. He had been co-mangled and blurred.'}"
chunk_112.wav,{'text': ' caught in a vortex and was being whirled on with a velocity of advance and gyration that made him giddy and sick. In a few moments he was flung upon the gravel at the foot of'},{'text': ' caught in a vortex and was being whirled on with a velocity of advance and gyration that made him giddy and sick. In a few moments he was flung upon the gravel at the foot of'}
chunk_113.wav,"{'text': ' the left bank of the stream, the southern bank, and behind a projecting point which concealed him from his enemies. The sudden arrest of his motion, the abrasion of one of his hands'}","{'text': ' the left bank of the stream, the southern bank, and behind a projecting point which concealed him from his enemies. The sudden arrest of his motion, the abrasion of one of his hands'}"
chunk_114.wav,"{'text': ' on the gravel, restored him, and he wept with delight. He dug his fingers into the sand, threw it over himself in handfuls, and audibly'}","{'text': ' on the gravel, restored him, and he wept with delight. He dug his fingers into the sand, threw it over himself in handfuls, and audibly'}"
chunk_115.wav,"{'text': ' blessed it. It looked like diamonds, rubies, emeralds. He could think of nothing beautiful which it did not resemble. The trees upon the'}","{'text': ' blessed it. It looked like diamonds, rubies, emeralds. He could think of nothing beautiful which it did not resemble. The trees upon the'}"
chunk_116.wav,{'text': ' The End'},{'text': ' The End'}
chunk_117.wav,"{'text': ' The wind made in their branches the music of Aeolian harps. He had no wish to perfect his escape, was content to remain in that enchanting place.'}","{'text': ' The wind made in their branches the music of Aeolian harps. He had no wish to perfect his escape, was content to remain in that enchanting place.'}"
chunk_118.wav,{'text': ' spot until retaken. A whiz and rattle of grapeshot among the branches high above his head roused him from his dream. The baffled cannoneer had'},{'text': ' spot until retaken. A whiz and rattle of grapeshot among the branches high above his head roused him from his dream. The baffled cannoneer had'}
chunk_119.wav,"{'text': ' fired him a random farewell. He sprang to his feet, rushed up the sloping bank, and plunged into the forest. All that day he traveled,'}","{'text': ' fired him a random farewell. He sprang to his feet, rushed up the sloping bank, and plunged into the forest. All that day he traveled,'}"
chunk_120.wav,"{'text': "" laying his course by the rounding sun the forest seemed interminable nowhere did he discover a break in it not even a woodman's road he had not known that he lived in""}","{'text': "" laying his course by the rounding sun the forest seemed interminable nowhere did he discover a break in it not even a woodman's road he had not known that he lived in""}"
chunk_121.wav,"{'text': ' so wild a region, there was something uncanny in the revelation. By nightfall he was fatigued, foot sore, famishing. The thought of his'}","{'text': ' so wild a region, there was something uncanny in the revelation. By nightfall he was fatigued, foot sore, famishing. The thought of his'}"
chunk_122.wav,"{'text': ' wife and children urged him on. At last he found a road which led him in what he knew to be the right direction. It was as wide and straight as a city street, yet it seemed untraveled'}","{'text': ' wife and children urged him on. At last he found a road which led him in what he knew to be the right direction. It was as wide and straight as a city street, yet it seemed untraveled'}"
chunk_123.wav,{'text': ' No fields bordered it. No dwelling anywhere. Not so much as the barking of a dog suggested human habitation. The black bodies of the trees formed a straight wall'},{'text': ' No fields bordered it. No dwelling anywhere. Not so much as the barking of a dog suggested human habitation. The black bodies of the trees formed a straight wall'}
chunk_124.wav,"{'text': ' on both sides, terminating on the horizon in a point, like a diagram in a lesson in perspective. Overhead, as he looked up through this rift in the wood,'}","{'text': ' on both sides, terminating on the horizon in a point, like a diagram in a lesson in perspective. Overhead, as he looked up through this rift in the wood,'}"
chunk_125.wav,{'text': ' shown great golden stars looking unfamiliar and grouped in strange constellations. He was sure they were arranged in some order which had a secret'},{'text': ' shown great golden stars looking unfamiliar and grouped in strange constellations. He was sure they were arranged in some order which had a secret'}
chunk_126.wav,"{'text': ' and malign significance. The wood on either side was full of singular noises, among which, once, twice, and again, he distinctly heard whispers'}","{'text': ' and malign significance. The wood on either side was full of singular noises, among which, once, twice, and again, he distinctly heard whispers'}"
chunk_127.wav,"{'text': ' an unknown tongue. His neck was in pain, and lifting his hand to it he found it horribly swollen. He knew that it had a circle of black where the rope had'}","{'text': ' an unknown tongue. His neck was in pain, and lifting his hand to it he found it horribly swollen. He knew that it had a circle of black where the rope had'}"
chunk_128.wav,{'text': ' bruised it. His eyes felt congested. He could no longer close them. His tongue was swollen with thirst. He relieved its fever by thrusting it forward from'},{'text': ' bruised it. His eyes felt congested. He could no longer close them. His tongue was swollen with thirst. He relieved its fever by thrusting it forward from'}
chunk_129.wav,"{'text': ' between his teeth into the cold air, how softly the turf had carpeted the untraveled avenue. He could no longer feel the roadway beneath his feet.'}","{'text': ' between his teeth into the cold air, how softly the turf had carpeted the untraveled avenue. He could no longer feel the roadway beneath his feet.'}"
chunk_130.wav,"{'text': ' Doubtless, despite his suffering, he had fallen asleep while walking. For now he sees another scene. Perhaps he was merely recovered from a delirium.'}","{'text': ' Doubtless, despite his suffering, he had fallen asleep while walking. For now he sees another scene. Perhaps he was merely recovered from a delirium.'}"
chunk_131.wav,"{'text': ' He stands at the gate of his own home. All is as he left it, and all bright and beautiful in the morning sunshine. He must have traveled the entire night.'}","{'text': ' He stands at the gate of his own home. All is as he left it, and all bright and beautiful in the morning sunshine. He must have traveled the entire night.'}"
chunk_132.wav,"{'text': ' As he pushes open the gate and passes up the wide, white walk, he sees a flutter of female garments. His wife, looking fresh and cool and sweet,'}","{'text': ' As he pushes open the gate and passes up the wide, white walk, he sees a flutter of female garments. His wife, looking fresh and cool and sweet,'}"
chunk_133.wav,"{'text': ' steps down from the veranda to meet him. At the bottom of the steps, she stands waiting, with a smile of ineffable joy. In added'}","{'text': ' steps down from the veranda to meet him. At the bottom of the steps, she stands waiting, with a smile of ineffable joy. In added'}"
chunk_134.wav,"{'text': ' Ah, how beautiful she is. He springs forward with extended arms. As he is about to clasp her, he is able to grab her by the hands.'}","{'text': ' Ah, how beautiful she is. He springs forward with extended arms. As he is about to clasp her, he is able to grab her by the hands.'}"
chunk_135.wav,{'text': ' He feels a stunning blow upon the back of the neck. A blinding white light blazes all about him with a sound like the shock of a cannon.'},{'text': ' He feels a stunning blow upon the back of the neck. A blinding white light blazes all about him with a sound like the shock of a cannon.'}
chunk_136.wav,"{'text': ' then all is darkness and silence. Payton Farquhar was dead. His body, with a broken neck, swung gently from side'}","{'text': ' then all is darkness and silence. Payton Farquhar was dead. His body, with a broken neck, swung gently from side'}"
chunk_137.wav,{'text': ' Thank you for joining us.'},{'text': ' Thank you for joining us.'}
chunk_138.wav,"{'text': ' If you enjoyed the narration, please subscribe to my channel.'}","{'text': ' If you enjoyed the narration, please subscribe to my channel.'}"
chunk_139.wav,{'text': ' channel and leave any comment that you deem necessary. Thank you.'},{'text': ' channel and leave any comment that you deem necessary. Thank you.'}
